Date,Open,High,Low,Close,Adj Close,Volume,company_name
2023-07-17,98000.0,98800.0,97200.0,97300.0,97300.0,785000,VIETJET
2023-07-19,96300.0,97000.0,96200.0,96700.0,96700.0,791000,VIETJET
2023-07-20,96800.0,97800.0,96300.0,97800.0,97800.0,942200,VIETJET
2023-07-21,97800.0,98000.0,96500.0,98000.0,98000.0,1254200,VIETJET
2023-07-24,98000.0,98300.0,96700.0,96800.0,96800.0,914700,VIETJET
2023-07-26,96500.0,97000.0,96100.0,96500.0,96500.0,720900,VIETJET
2023-07-28,96900.0,97800.0,96200.0,97800.0,97800.0,846400,VIETJET
2023-08-03,101000.0,102700.0,99800.0,101000.0,101000.0,830800,VIETJET
2023-08-04,101000.0,102000.0,99900.0,101000.0,101000.0,1195400,VIETJET
2023-08-07,101200.0,101900.0,100000.0,101900.0,101900.0,841800,VIETJET
2023-08-08,102000.0,103400.0,100700.0,103000.0,103000.0,810100,VIETJET
2023-08-09,103300.0,103500.0,101500.0,101600.0,101600.0,649600,VIETJET
2023-08-10,102000.0,102800.0,100600.0,100700.0,100700.0,828200,VIETJET
2023-08-11,100600.0,101300.0,99900.0,101100.0,101100.0,1050500,VIETJET
2023-08-14,101500.0,101500.0,99600.0,100200.0,100200.0,1232300,VIETJET
2023-08-15,100500.0,101900.0,99500.0,101900.0,101900.0,823200,VIETJET
2023-08-16,102000.0,102000.0,100200.0,100800.0,100800.0,744100,VIETJET
2023-08-17,100800.0,101300.0,99500.0,100000.0,100000.0,962200,VIETJET
2023-08-18,100000.0,100100.0,96000.0,97900.0,97900.0,1277000,VIETJET
2023-08-21,97700.0,98500.0,96000.0,96000.0,96000.0,1241900,VIETJET
2023-08-22,97800.0,98900.0,96000.0,97300.0,97300.0,956800,VIETJET
2023-08-23,97300.0,98500.0,96000.0,96500.0,96500.0,878400,VIETJET
2023-08-24,96900.0,98200.0,96300.0,97500.0,97500.0,841700,VIETJET
2023-08-25,96500.0,97700.0,96400.0,97000.0,97000.0,907800,VIETJET
2023-08-28,97500.0,98500.0,96800.0,98000.0,98000.0,3047010,VIETJET
2023-08-29,98000.0,98300.0,96500.0,97500.0,97500.0,2535230,VIETJET
2023-08-30,97500.0,98000.0,96400.0,96900.0,96900.0,1693360,VIETJET
2023-08-31,97000.0,98000.0,96100.0,98000.0,98000.0,1567390,VIETJET
2023-09-05,98100.0,100600.0,97400.0,100500.0,100500.0,1412400,VIETJET
2023-09-06,100600.0,101800.0,99500.0,101700.0,101700.0,1719200,VIETJET
2023-09-07,101100.0,101900.0,100200.0,101000.0,101000.0,904000,VIETJET
2023-09-08,100400.0,101800.0,100300.0,101400.0,101400.0,2253100,VIETJET
2023-09-11,101500.0,101800.0,99000.0,99000.0,99000.0,2162700,VIETJET
2023-09-12,99500.0,101900.0,99200.0,101900.0,101900.0,1000600,VIETJET
2023-09-13,101900.0,101900.0,99000.0,99000.0,99000.0,980200,VIETJET
2023-09-14,99000.0,100000.0,97000.0,99000.0,99000.0,1017700,VIETJET
2023-09-15,99500.0,100200.0,98700.0,99700.0,99700.0,936500,VIETJET
2023-09-18,99500.0,99600.0,98000.0,98800.0,98800.0,876000,VIETJET
2023-09-19,98900.0,99400.0,97800.0,99400.0,99400.0,1993300,VIETJET
2023-09-20,99400.0,99600.0,98400.0,99400.0,99400.0,3500700,VIETJET
2023-09-21,99000.0,99500.0,98200.0,99300.0,99300.0,1105700,VIETJET
2023-09-22,98000.0,98500.0,96500.0,97600.0,97600.0,854100,VIETJET
2023-09-25,97000.0,98500.0,96100.0,98000.0,98000.0,1111400,VIETJET
