Date,Open,High,Low,Close,Adj Close,Volume,company_name
2017-12-05,22146.962890625,22335.2890625,21581.990234375,21581.990234375,21127.900390625,13291040,FPT
2017-12-06,21468.99609375,21581.990234375,21092.345703125,21393.666015625,20943.537109375,9487660,FPT
2017-12-07,21393.666015625,21657.3203125,21017.015625,21130.01171875,20685.4296875,4448647,FPT
2017-12-08,21092.345703125,21280.669921875,20753.361328125,20904.021484375,20464.1953125,5269410,FPT
2017-12-11,20527.373046875,20791.02734375,20150.724609375,20150.724609375,19726.748046875,7265062,FPT
2017-12-12,20376.712890625,20602.703125,19133.771484375,20226.052734375,19800.490234375,8267586,FPT
2017-12-13,20452.04296875,20640.3671875,20226.052734375,20602.703125,20169.216796875,4316639,FPT
2017-12-14,20527.373046875,21054.681640625,20527.373046875,21054.681640625,20611.685546875,3525610,FPT
2017-12-15,21092.345703125,21393.666015625,20904.021484375,21280.669921875,20832.919921875,4278885,FPT
2017-12-18,21468.99609375,21544.32421875,21130.01171875,21205.341796875,20759.17578125,5232501,FPT
2017-12-19,21205.341796875,21356.0,20678.033203125,20791.02734375,20353.580078125,6593852,FPT
2017-12-20,20791.02734375,21468.99609375,20791.02734375,21205.341796875,20759.17578125,5262715,FPT
2017-12-21,21393.666015625,21619.654296875,21130.01171875,21243.005859375,20796.046875,4899835,FPT
2017-12-22,21243.005859375,21619.654296875,21167.67578125,21506.66015625,21054.154296875,4614556,FPT
2017-12-25,21581.990234375,21883.30859375,21581.990234375,21694.984375,21238.515625,6355804,FPT
2017-12-26,21845.64453125,21845.64453125,21506.66015625,21506.66015625,21054.154296875,3308246,FPT
2017-12-27,21657.3203125,21657.3203125,21318.3359375,21356.0,20906.6640625,8392289,FPT
2017-12-28,21356.0,21694.984375,21280.669921875,21544.32421875,21091.025390625,5087622,FPT
2017-12-29,21544.32421875,21694.984375,21468.99609375,21506.66015625,21054.154296875,4141410,FPT
2018-01-02,21581.990234375,22523.61328125,21544.32421875,22523.61328125,22049.7109375,13333785,FPT
2018-01-03,22787.267578125,22862.59765625,22410.6171875,22523.61328125,22049.7109375,7951506,FPT
2018-01-04,22598.943359375,22975.591796875,22561.27734375,22975.591796875,22492.177734375,7446716,FPT
2018-01-05,22975.591796875,23013.255859375,22561.27734375,22598.943359375,22123.455078125,7570569,FPT
2018-01-08,22448.283203125,22937.92578125,22335.2890625,22937.92578125,22455.306640625,6714547,FPT
2018-01-09,22975.591796875,23465.234375,22711.9375,23389.90625,22897.775390625,11445371,FPT
2018-01-10,23352.240234375,23728.888671875,23013.255859375,23163.916015625,22676.541015625,13568780,FPT
2018-01-11,23013.255859375,23314.576171875,22862.59765625,23163.916015625,22676.541015625,6425472,FPT
2018-01-12,23276.91015625,23352.240234375,22674.271484375,22674.271484375,22197.197265625,7500213,FPT
2018-01-15,22636.607421875,23050.921875,22485.947265625,22975.591796875,22492.177734375,6378512,FPT
2018-01-16,22937.92578125,23163.916015625,22711.9375,22975.591796875,22492.177734375,4280852,FPT
2018-01-17,22975.591796875,23013.255859375,22222.29296875,22222.29296875,21754.73046875,7325727,FPT
2018-01-18,21958.638671875,22222.29296875,21694.984375,22222.29296875,21754.73046875,8860470,FPT
2018-01-19,22222.29296875,22523.61328125,22184.62890625,22184.62890625,21717.857421875,5317120,FPT
2018-01-22,22410.6171875,23163.916015625,22372.953125,22937.92578125,22455.306640625,6663093,FPT
2018-01-25,23163.916015625,23578.23046875,22937.92578125,23013.255859375,22529.05078125,14305752,FPT
2018-01-26,23352.240234375,23352.240234375,22787.267578125,22900.26171875,22418.43359375,4332358,FPT
2018-01-29,22937.92578125,23314.576171875,22561.27734375,22711.9375,22234.072265625,3598676,FPT
2018-01-30,22523.61328125,24105.5390625,22410.6171875,24105.5390625,23598.3515625,12715679,FPT
2018-01-31,24406.857421875,24670.51171875,23691.224609375,23691.224609375,23192.75390625,10722922,FPT
2018-02-01,23691.224609375,23917.21484375,23201.580078125,23201.580078125,22713.412109375,5643046,FPT
2018-02-02,23201.580078125,23276.91015625,22787.267578125,22975.591796875,22492.177734375,4972234,FPT
2018-02-05,22636.607421875,22900.26171875,21506.66015625,21506.66015625,21054.154296875,10757781,FPT
2018-02-06,20037.728515625,21280.669921875,20037.728515625,20414.37890625,19984.853515625,16153997,FPT
2018-02-07,21468.99609375,21581.990234375,21092.345703125,21318.3359375,20869.79296875,4972690,FPT
2018-02-08,21092.345703125,21468.99609375,20715.697265625,20791.02734375,20353.580078125,4537377,FPT
2018-02-09,19774.07421875,20715.697265625,19774.07421875,20715.697265625,20279.83203125,5840896,FPT
2018-02-12,21205.341796875,21506.66015625,20527.373046875,21506.66015625,21054.154296875,3148842,FPT
2018-02-13,21920.974609375,22335.2890625,21770.314453125,22222.29296875,21754.73046875,3915918,FPT
2018-02-21,22636.607421875,22711.9375,22222.29296875,22372.953125,21902.220703125,4788327,FPT
2018-02-22,22335.2890625,22410.6171875,21920.974609375,21996.3046875,21533.49609375,4079362,FPT
2018-02-23,22033.96875,22824.931640625,22033.96875,22787.267578125,22307.81640625,5353377,FPT
2018-02-26,22975.591796875,23276.91015625,22749.6015625,22749.6015625,22270.9453125,6772215,FPT
2018-02-27,22862.59765625,22900.26171875,22410.6171875,22523.61328125,22049.7109375,3758427,FPT
2018-02-28,22297.623046875,22749.6015625,22259.958984375,22523.61328125,22049.7109375,7528780,FPT
2018-03-01,22372.953125,23050.921875,22259.958984375,22900.26171875,22418.43359375,6144308,FPT
2018-03-02,22787.267578125,23088.5859375,22598.943359375,23013.255859375,22529.05078125,4887646,FPT
2018-03-05,23088.5859375,24293.86328125,23088.5859375,23163.916015625,22676.541015625,15997224,FPT
2018-03-06,23540.564453125,23841.884765625,23239.24609375,23841.884765625,23340.24609375,6843343,FPT
2018-03-07,23917.21484375,23992.544921875,23163.916015625,23427.5703125,22934.6484375,6728832,FPT
